"","x"
"1","ada-2"
"2","alr-1 ceh-20 cey-1 chd-3 daf-3 dpy-22 elt-1 eya-1 hlh-14 hmg-1.1 hmg-11 hnd-1 nhr-34 nhr-46 tag-192 tbx-8 cwn-1"
"3","atf-5 nhr-64 zip-2"
"4","atf-6 daf-14 mml-1 sdc-1 sdc-3"
"5","atf-7 xbp-1"
"6","athp-1 cey-2 cey-3 hmg-12 mex-1 mex-6 nhr-66 oma-2 pie-1 pos-1"
"7","bra-2 cep-1 dpl-1 lin-61 rbr-2 ref-1 tra-4"
"8","brc-1"
"9","cbp-1"
"10","ccr-4 efl-1"
"11","cdk-9 gei-11 lin-54 lir-1 mes-6 nhr-243 nhr-78"
"12","ced-6 daf-19 mxl-2 nhr-12"
"13","ceh-13 ceh-32 ceh-36 ceh-37 ceh-43 ceh-44 elt-7 eor-1 fkh-2 mls-2 nhr-57 pes-1 pha-4"
"14","ceh-21"
"15","ceh-27 dmd-5 elt-2 irx-1 lin-32 nhr-68 unc-130 unc-39 vab-15"
"16","ceh-38 lag-1 ztf-7"
"17","ceh-39 egl-18 fkh-5 hlh-3 sea-1 tbx-37 tbx-38"
"18","ceh-40 dlx-1 end-1 nhr-2 sex-1 tbx-11"
"19","ceh-41 tbx-9"
"20","ceh-49 fkh-3 fkh-4"
"21","cey-4 psa-1"
"22","cnd-1 zfp-1"
"23","die-1 hlh-2 nurf-1 sdc-2"
"24","dnj-11 hmg-5 mes-2"
"25","dpy-26 let-418 lin-40 ntl-2 unc-62"
"26","egl-27 nhr-10"
"27","ekl-4 gfl-1 lpd-2 nhr-61"
"28","elt-3 mab-21"
"29","elt-6"
"30","fkh-7"
"31","flt-1 nhr-122 nhr-47"
"32","gei-8 hmg-1.2 nhr-70"
"33","gla-3 hsf-1 lsl-1 mbf-1 mex-5 mxl-1 nhr-13 tbx-36 zip-4"
"34","hif-1 nhr-86"
"35","hlh-1 hlh-30 nhr-25 nob-1 unc-120"
"36","hlh-25 hlh-26 hlh-27 tbx-33"
"37","hmg-3 tag-153"
"38","hmg-4 taf-5"
"39","lin-26 mes-4"
"40","lin-28"
"41","lin-35"
"42","lin-49"
"43","lst-3"
"44","nfi-1"
"45","ngn-1 unc-30"
"46","nhr-20 nhr-4 sbp-1"
"47","nhr-256"
"48","nhr-49"
"49","nhr-71"
"50","oma-1"
"51","pal-1"
"52","skn-1"
"53","sop-2"
"54","sox-2 tbx-7"
"55","spr-1"
"56","taf-4"
"57","tag-182"
"58","tbx-31 tbx-32 tbx-39 tbx-40"
"59","tra-1"
"60","unc-37"
"61","scrt-1"
