,pal-1,tbx-8,tbx-9,elt-1,hnd-1,scrt-1,cwn-1,unc-120,hlh-1,nob-1,elt-3,nhr-25,mab-21,lin-26
pal-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tbx-8,0,0,0,1,1,0,0,0,0,0,0,0,0,0
tbx-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elt-1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
hnd-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
scrt-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cwn-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unc-120,0,0,0,0,0,0,0,0,0,1,0,1,0,0
hlh-1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
nob-1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
elt-3,0,0,0,0,0,0,0,0,1,1,0,0,1,0
nhr-25,0,0,0,0,0,0,0,1,1,1,0,0,0,0
mab-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lin-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
